Description,Payment instruction ID,Currency,Amount,Party ID,Due date,Processing date
WORLDPAY SG 02/01-,WPAAOTXTJN,SGD,11200.92,PO4032318561,20240103,20240102
WORLDPAY SG 02/01-,WPAAOTXTLI,USD,4948.58,PO4041702830,20240103,20240102
