Acquired Cards Subtotal,Funding Bill ID,Payment instruction ID,Number of transactions,Currency,Value of Transactions,Party ID,Processing date
Total Funding of Worldpay acquired transactions,1000319568783,WPAAOTXTJN,22,SGD,3678.70,PO4032318561,20240102
Total Funding of Worldpay acquired transactions,1000319544553,WPAAOTXTLI,9,USD,496.29,PO4041702830,20240102
