TAX,Bill ID,Payment instruction ID,Currency,Tax applied,Party ID,Processing date
Tax applied,287804272,WPAAOTXTJN,SGD,-0.30,PO4032318561,20240102
Tax applied,287800779,WPAAOTXTLI,USD,-0.13,PO4041702830,20240102
