Acquired charges Subtotal,Bill ID,Payment instruction ID,Number of transactions,Currency,Value of transactions,Party ID,Processing date
Total Worldpay acquired transaction charges,287804272,WPAAOTXTJN,22,SGD,-98.68,PO4032318561,20240102
Total Worldpay acquired transaction charges,287800779,WPAAOTXTLI,9,USD,-20.11,PO4041702830,20240102
