MERCHANT_TX_ID,TX_ID,PAYMENT_REFERENCE,EVENT_TYPE,EVENT_TIMESTAMP,MERCHANT_ID,PAYMENT_METHOD,AMOUNT,CURRENCY,COUNTRY
404f6468-f934-40c8-a138-2e0e5249f98e,2130330082,5CD7HC5,SUCCEEDED,2023-09-23T07:56:58Z,TAZAPAYLIVECDKLLC4345246589,BLIK,70.19,PLN,PL
8225b087-e26f-4543-850d-ec458ed20e22,2130334618,5GLOC8G,SUCCEEDED,2023-09-23T08:11:10Z,TAZAPAYLIVECDKLLC4345246589,BLIK,167.49,PLN,PL
b8caab47-34cd-4b9e-aa28-04337fa5ccb7,2130335298,5Y1JG0E,SUCCEEDED,2023-09-23T08:13:16Z,TAZAPAYLIVECDKLLC4345246589,BLIK,38.15,PLN,PL
2325b3a7-18e2-4c9f-b274-14306824e4c6,140120022169,6ZZA06R,SUCCEEDED,2023-09-23T08:15:15Z,TAZAPAYLIVECDKLLC4345246589,BLIK,216.19,PLN,PL
e4ca4c6a-ab67-4d76-ac1a-45e012aab43e,140120022677,6XMDH4K,SUCCEEDED,2023-09-23T08:16:35Z,TAZAPAYLIVECDKLLC4345246589,BLIK,351.29,PLN,PL
49091c61-9fd7-4f7f-9995-e4b57391717f,2130336437,5G3AUEP,SUCCEEDED,2023-09-23T08:16:41Z,TAZAPAYLIVECDKLLC4345246589,BLIK,21.59,PLN,PL
2e07d141-bebe-4cfb-b020-2e912b304298,140120022669,6OYUUOC,SUCCEEDED,2023-09-23T08:17:07Z,TAZAPAYLIVECDKLLC4345246589,BLIK,18.89,PLN,PL
cd6c8d6f-e9ed-44d6-b479-a5feda75228a,2130337752,5Y8WK0D,SUCCEEDED,2023-09-23T08:20:19Z,TAZAPAYLIVECDKLLC4345246589,BLIK,92.89,PLN,PL
32dc7048-6bfe-479f-a68e-d96309cf7799,140120025005,6XM38M4,SUCCEEDED,2023-09-23T08:23:17Z,TAZAPAYLIVECDKLLC4345246589,BLIK,351.29,PLN,PL
90bde2e8-8d72-4b0f-8219-bef29e15bf6d,140120026536,6B9V2IW,SUCCEEDED,2023-09-23T08:27:48Z,TAZAPAYLIVECDKLLC4345246589,BLIK,216.19,PLN,PL
b96ef83f-a62a-4d95-8cfb-9811bf376e27,2130341490,51Z0D8C,SUCCEEDED,2023-09-23T08:30:49Z,TAZAPAYLIVECDKLLC4345246589,BLIK,43.19,PLN,PL
06c1d037-61fd-4ebc-a9ce-dd89c543dfc3,140120029096,6BSN05L,SUCCEEDED,2023-09-23T08:35:24Z,TAZAPAYLIVECDKLLC4345246589,BLIK,405.39,PLN,PL
eee7b517-a418-459d-8bb4-151fcd138538,2130339950,5I9IBUX,SUCCEEDED,2023-09-23T08:36:05Z,TAZAPAYLIVECDKLLC4345246589,BLIK,162.09,PLN,PL
234be6cc-58be-4b9c-a9d8-404ba4d8556c,2130343775,5JRSC21,SUCCEEDED,2023-09-23T08:37:48Z,TAZAPAYLIVECDKLLC4345246589,BLIK,351.29,PLN,PL
c809491a-1f26-46e9-9eba-a65d343ccaaf,2130344712,5KLCEJ0,SUCCEEDED,2023-09-23T08:39:51Z,TAZAPAYLIVECDKLLC4345246589,BLIK,19.98,PLN,PL
1c131edc-ae1f-4aae-aa0b-c3b885dce726,2130345031,53WHAIC,SUCCEEDED,2023-09-23T08:40:50Z,TAZAPAYLIVECDKLLC4345246589,BLIK,351.29,PLN,PL
06c4276f-9e21-4751-babf-99cdd232a7a3,2130346450,5G9HKV5,SUCCEEDED,2023-09-23T08:44:47Z,TAZAPAYLIVECDKLLC4345246589,BLIK,5.89,PLN,PL
00d8a1af-7a1b-494e-87c5-6eca2a9fa8e2,2130346733,5UQMBDH,SUCCEEDED,2023-09-23T08:46:38Z,TAZAPAYLIVECDKLLC4345246589,BLIK,5.39,PLN,PL
4448043a-50c6-48c1-84bb-ace9dc24d631,2130347601,5TXA4WK,SUCCEEDED,2023-09-23T08:47:45Z,TAZAPAYLIVECDKLLC4345246589,BLIK,351.29,PLN,PL
88a217d1-58ef-4897-936c-09615c02adf8,2130347944,5SAE4D2,SUCCEEDED,2023-09-23T08:48:50Z,TAZAPAYLIVECDKLLC4345246589,BLIK,115.08,PLN,PL
90ad4aeb-fdf7-4d43-962a-b03f72160bad,140120034593,6HY671N,SUCCEEDED,2023-09-23T08:50:48Z,TAZAPAYLIVECDKLLC4345246589,BLIK,16.19,PLN,PL
3b3b3e29-5f89-4f73-a275-d1e414a46f70,140120035208,65AQIYB,SUCCEEDED,2023-09-23T08:52:45Z,TAZAPAYLIVECDKLLC4345246589,BLIK,123.96,PLN,PL
627925a8-4e10-400b-a17c-3266e3669a43,2130350355,5SI8MDQ,SUCCEEDED,2023-09-23T08:55:53Z,TAZAPAYLIVECDKLLC4345246589,BLIK,216.19,PLN,PL
a72463de-5035-4ad4-b5be-da4b20a4164f,140120037526,6POOK79,SUCCEEDED,2023-09-23T08:59:08Z,TAZAPAYLIVECDKLLC4345246589,BLIK,102.69,PLN,PL
75639c55-7eba-4013-a2aa-d66ee9ee7eec,140120038864,6TO9V1L,SUCCEEDED,2023-09-23T09:02:45Z,TAZAPAYLIVECDKLLC4345246589,BLIK,199.99,PLN,PL
0a04f097-2800-4e46-9147-a33357cfff39,140120039527,6PWB3OJ,SUCCEEDED,2023-09-23T09:03:55Z,TAZAPAYLIVECDKLLC4345246589,BLIK,351.29,PLN,PL
e1d000fe-396a-4e82-84c4-f6fa6d6042e4,2130353679,5NQ6YDR,SUCCEEDED,2023-09-23T09:04:21Z,TAZAPAYLIVECDKLLC4345246589,BLIK,340.49,PLN,PL
20d815d0-c1a7-40d2-bedd-e7c8eed39c09,140120040379,6NRE87T,SUCCEEDED,2023-09-23T09:06:32Z,TAZAPAYLIVECDKLLC4345246589,BLIK,119.39,PLN,PL
32213036-9f4c-47c4-8e22-25e2c65a355a,2130356793,5OQCP46,SUCCEEDED,2023-09-23T09:12:32Z,TAZAPAYLIVECDKLLC4345246589,BLIK,37.19,PLN,PL
5911efcd-4600-4872-9d98-d316d74f04f3,140120043532,6ULERKN,SUCCEEDED,2023-09-23T09:15:05Z,TAZAPAYLIVECDKLLC4345246589,BLIK,404.99,PLN,PL
73523758-04f3-4913-ac8a-4b976274adb9,2130358249,55RNZ9G,SUCCEEDED,2023-09-23T09:16:37Z,TAZAPAYLIVECDKLLC4345246589,BLIK,38.29,PLN,PL
